channel,view_count,title,description
ENA 이엔에이,2187135,5회 하이라이트 강찬석의 본캐는 죽지 않았다! 찬석의 한마디에 구사일생한 최일구 신병3,충성! 신병  돌아왔습니다7 진짜로 리턴즈했슴다! 좋은놈  나쁜놈  이상한 놈 별별 놈 모두 모인 그곳에 3배로 재밌어진 군생활!  매주 월화 밤 10시! 많은 시청 바랍니다!  신병3 ENA 신규드라마 월화드라마 ENA드라마 김민호 김동준 오대환 남태우 이상진 김요한    ENA 채널 번호 안내  Genie TV 1번 skylife 1번 HCN 1번 Btv 40번 U 72번 LG헬로비전 996번  딜라이브 58번 CMB 1번 Btv 알뜰 57번   ENA 구독   ENA 공식 홈페이지   페이스북     channel.ena   인스타그램     channel.ena
골 때리는 그녀들 Shooting Stars,224257,챌린지리그 지박령에서 G리그 우승후보가 되기까지! Ι 원더우먼 경기 후 라커룸,골때리는그녀들 168회 비하인드 마시마 사오리 FC원더우먼 FC월드클라쓰  SBS 예능  골 때리는 그녀들 매주 수요일 오후 900
SPOiler 스포일러,106753,예능매치호날두 vs 음바페 첫 맞대결은 어땠을까?신계 호날두에게 도전하는 슈퍼 루키 음바페! 레알 마드리드 vs PSGㅣ쵱내  스포티비,안녕하세요 오늘도 축구 읽어 주러 온 쵱내 입니다. (쵱내 유튜브 채널    예능보다 예능 같은 매치!  그 221번째 경기는 201718 챔피언스리그 레알 마드리드와 파리 생제르맹 간의 경기를 준비했습니다.  그럼 재미있게 봐주시고 즐거우셨다면 구독 한번 부탁드리겠습니다!!  그리고 기억에 남거나 보고 싶은 경기가 있다면 댓글 남겨주세요   그럼 다음 주에 만나요  챔피언스리그 레알마드리드 PSG
the BOB studio  더 밥 스튜디오,208833,이렇게 하면 안 망하는 거 맞지..? 성공 100 보장하는 깜짝 비법을 따라해봤습니다.(feat. 요돌 윤남노 셰프)카페 팝옾통닭 EP.02 팝옾통닭 카페팝옾통닭,성공하는 사장님은 얼굴부터 다르다..! 요리하는 돌아이 윤남노 셰프와 함께하는 성공의 법칙 파헤치기  이렇게 하면 진짜 성공하는 거 맞지? 세 사람은 무사히 성공 기원제를 마칠 수 있을까?  팝옾통닭 카페팝옾통닭 노랑통닭  카페 팝옾통닭  본 영상은 노랑통닭의 유료 광고를 포함하고 있습니다  0000 사장님의 품격 0028 슈퍼스타 화보 촬영 현장 0401 전 세계가 주목하는 귀추 0556 두 가지 매력을 지닌 자 1111 이건 기업 회장님도 못 참아 1528 남매같은 모습 2030 부자가 되기 위해 가장 먼저 해야 할 것 2444 이거 복수극 아니에요(?) 2716 눈물 없인 볼 수 없는 추억들.. 2952 팝옾통닭에 어서오세요! 3029 TO BE CONTINUED
Hebi.,1143704,Hebi  지금부터 (Onward) Official MV,Hebi 지금부터 (Onward) Official MV    hebi  헤비  지금부터      Hebi Official SNS  OFFICIAL WEVERSE    OFFICIAL X
지켜츄 Chuu Can Do It,98506,(ENG) 찰스 안 좋아하는 거? 그거 어떻게 하는 건데  츄 x 찰스엔터,츄꾸미들 안녕 . 오늘은 너무너무 만나고 싶었던 제 친구 찰스와 함께 . 저의 소울푸드 샤브샤브를 즐기고 왔답니다 . MBTI부터 음식 취향 그리고 취미까지 전부 다 맞는 찰스 . 어쩌면 우린 베프가 될 운명이었을지도? ( )  츄 찰스엔터 월간데이트  호텔식 샤브뷔페  샤브올데이! 샤브올데이를 검색해보세요!  호텔식 샤브뷔페  샤브올데이! 프리미엄 샤브샤브와 60여가지의 호텔식 뷔페를  1인가격 풀코스로 즐겨보세요!  샤브올데이 샤브뷔폐 샤브샤브  호텔샤브뷔폐 샤브월남쌈  샤브올데이 홈페이지   샤브올데이 인스타그램  sballday_official 촬영장소  샤브올데이 별내신도시점
이국주,118457,편의점 한 끼로 78 000원을 태우는 자취생이 있다? 이국주의 도쿄 정착기 일본으로 떠난 이유.. 도쿄 9평 원룸 자취 라이프  자취 꿀템 추천!,PPL 문의  backho2301gmail.com 인스타그램  gookju
와코,254206,나 고백받았다 ㅋㅋ오예,학생브이로그 겟레디윗미 GRWM   안녕하데오 여러분..? 저희 거의 3주 만이죠?  그동안 제가 영상을 올리지 못한 이유를 말해보자면    변명 1. 가출을 해서 멘탈이 제정신이 아니었음 (브이로그로 말아와요 이번주 금욜) 변명 2. 소개팅 후기 영상 찍었는데 오빠가 고백해서 무산됨 변명 3. 언제 헤어질지 모르는데 이런걸 올리는게 맞나 1주 넘게 고민함 (이게 제일 큼)  아무튼 그러한 이슈들이 있었답니다   하하  기다려주셔서 너무너무 감사할 따름이여요 앞으로 한달동안 올릴 영상들을 낉여왔으니까 우리 더 자주보아요   최근 제 근황은요.. 학원을 열심히 다니고 있어용 물론 수능 준비하는 학원은 아니고요  지금까지 배우고 싶었던 것들을 하나씩 차근차근 공부하고 있답니다 요것 또한 브이로그 야무지게 말아올게요  그리고 사무실도 어느정도 자리를 잡았어요! 아직 보수해야할 부분이 많지만 그래도 이정도면 셀프로 한것 치고는 만족! 하는 중입니다  최근에 생각이 너무 많아져서 복잡하고 조금은 힘들었걸랑요? 그래서 얼마전에 블로그에 제 개인적인 생각을 적은 글을 올렸는데  댓글들이  다 너무 따수워서 눈물이 났쟈나     그래서 영상도 올리기로 결심함 여러분 정말 보고 싶었더요 엉엉  블로그 궁금하실까봐 링크 남겨놓아요    오늘의 저메추는... 배추랑 관련된 무언가였으면 좋겠어요    양배추든 배추든.    샤브샤브에 적셔진 배추도 좋고 양배추에 닭가슴살 말아서 푹 익힌 찜도 좋고  아니면 밀푀유? 도 괜찮겠네요  아! 아니면 배추에 전분반죽 묻혀서 배추전 간장에 찍어먹어도 맛있을 것 같아요 비도 오니까 오늘은 국물류나 전류로 강력하게 추천해봄미다 흠흠  오빠랑 어떻게 되었는지는 따로 얘기하지 않을게요..!  아마 제 구독자분들이라면 다 눈치채셨을 것 같으니까요 ㅎㅎ 어제 오늘 밀린 영상들 편집하느라 4시간 밖에 못잤더니 오늘 가는 영어학원도 정말.. 가기가 싫네요   정말로요  그래도 가야죠 뭐 어쩌겠어요 ㅜㅜ  돈이 땅 판다고 나오는것도 아니고 일단 열심히 해보려고요!  오늘은 노래도 한 곡 추천하고 가겠음미당 페퍼톤스  공원여행 저도 제 구독자분한테 추천받은 노래인데요! 제가 소소한 행복을 여쭤보니까 산책하면서 노래를 듣는거라고 하시더라고요!! 이걸 들으면서 산책을 하면 기분이 한결 좋아질거라고 확신하면서 말씀하시길래 노래를 들으며 청계천을 걸었는데 그날 하루가 그리 행복하게 마무리 될 줄은 몰랐답니다  비록 오늘은 비가 오지만 장화 신고 웅덩이를 밟거나  우산에 떨어지는 빗방울들을 보는것도 작은 행복이 될 것 같아요!   여러분에게 오늘 하루가 행복하게 마무리 되길 바라며 얼마 안남은 4월도 화이팅이에요 여러분  늘 감사하고 사랑합니다  이번주 금요일에 또 봐요 안농!  Contact  sawakokim0812sandboxnetwork.net  Instagram  sawakoko13
STUDIO CHOOM 스튜디오 춤,564714,TWS(투어스) 마음 따라 뛰는 건 멋지지 않아? (4K)  STUDIO CHOOM ORIGINAL,STUDIO CHOOM ORIGINAL TWS Countdown! 스튜디오 춤 오리지널 투어스 마음 따라 뛰는 건 멋지지 않아?  청량 맛집 투어스 5개월 만에 컴백 완료 (154) 셋 하면 투어스를 따라가자 외치는 거야  TWS 투어스 SC_ORIGINAL  Stream various performance video on STUDIOCHOOM!  SUBSCRIBE YouTube  Facebook   Instagram  Naver TV
LUCY ISLAND,64697,MV LUCY  하마  ENG sub,LUCY OFFICIAL   spotify    fancafe    instagram    facebook    twitter    LUCY 루시 신예찬 최상엽 조원상 신광일
